date,BD->US,CL->AR,CL->BO,CL->BR,CL->CA,CL->CO,CL->EC,CL->ES,CL->MX,CL->PE,CL->US,CL->VE,ES->US,IT->US,JM->US,NG->US,NP->US,PK->US,TH->US,TR->US,TW->US
2021-12-01,1553,389,454,129,246,730,89,652,984,1057,2772,950,1696,989,1452,949,1052,1321,820,1128,828
2022-01-01,1370,564,835,219,391,988,152,966,622,1413,4071,1734,2598,1268,2524,1084,2101,1501,1009,1396,845
2022-02-01,1651,661,595,236,497,561,115,1100,226,813,3265,1052,2035,1310,2259,1828,2057,1754,1177,1399,1080
2022-03-01,2054,816,813,229,425,774,174,1182,228,1327,3329,1441,2656,1540,2188,1238,1950,1810,1301,1690,1044
2022-04-01,2707,782,980,260,415,790,199,1436,216,1438,3116,1667,2752,1627,2754,1347,2162,1982,1396,1667,1029
2022-05-01,2202,824,1119,266,567,940,259,1287,186,1608,3166,2158,3444,2040,3912,1670,1888,2139,1666,2337,1104
2022-06-01,1709,551,838,150,395,631,184,901,131,1042,2715,1280,2697,1610,3020,1621,1394,1527,1904,2293,911
2022-07-01,1316,466,772,146,379,801,181,960,163,987,2819,1897,2464,1633,3753,1712,1468,1520,1624,2801,1146
2022-08-01,1787,448,1033,164,546,863,188,913,143,1330,3578,1811,2972,1960,3904,1940,2868,1948,1986,3592,2179
2022-09-01,2793,388,872,139,682,704,170,789,222,975,4325,1905,2798,1828,3272,2234,3188,2242,1577,2813,2761
2022-10-01,3813,448,922,230,810,997,245,1796,239,1195,5684,3083,3156,2058,3765,3120,3804,2681,1555,2572,2485
2022-11-01,2074,327,848,172,365,986,207,1054,229,1048,3640,2976,2275,1218,2842,1770,1778,1540,948,1893,925
2022-12-01,2783,455,1238,238,734,1507,284,1832,345,1469,5488,4035,2695,1649,3527,2012,2101,1763,1113,2621,1302
