i,j,k,month,flow_jk,ehat_jk,excess_jk,w_ij,eop_lite,year
AR,PE,US,2020-11-01,823.0,1675.4338327710216,-0.5087839436554592,0.09718259758549848,-0.049444945254231425,2020
AR,PE,US,2020-12-01,1326.0,1791.6134677737366,-0.25988500094962397,0.09033411653440912,-0.023476481961328358,2020
AR,PE,US,2021-01-01,1487.0,1631.8354548931613,-0.08875616377794901,0.08676492262343405,-0.0077009216825465856,2021
AR,PE,US,2021-02-01,2096.0,2079.056696392365,0.008149514939652807,0.08344180206116104,0.0006800102124889843,2021
AR,PE,US,2021-03-01,2024.0,2390.1952336235277,-0.1532072478733785,0.08073215893206086,-0.012368751884857235,2021
AR,PE,US,2021-04-01,1387.0,1206.3748193132,0.1497255892572687,0.08080750720481551,0.012098951632651988,2021
AR,PE,US,2021-05-01,2140.0,1453.348389370873,0.47246181001815085,0.0798897514690819,0.03774485658098266,2021
AR,PE,US,2021-06-01,1936.0,1282.98199869183,0.5089845391237041,0.07816413637990083,0.03978433693132618,2021
AR,PE,US,2021-07-01,2958.0,1500.5860094816906,0.9712298937277891,0.07579174664107485,0.07361121003565464,2021
AR,PE,US,2021-08-01,2724.0,1391.2208303818845,0.9579925346950656,0.07463958726108898,0.07150416738884416,2021
AR,PE,US,2021-09-01,3787.0,1924.2276090595888,0.9680623966573206,0.0743036861323596,0.07193060447776535,2021
AR,PE,US,2021-10-01,3540.0,2018.4357569371064,0.753833377076021,0.07316032010533029,0.05515069117296385,2021
AR,PE,US,2021-11-01,3293.0,1818.9595751616885,0.8103755822650887,0.07174399582492799,0.05813958239065011,2021
AR,PE,US,2021-12-01,2295.0,1625.5436529760434,0.41183535477396543,0.07094339239787144,0.029216997177046025,2021
AR,PE,US,2022-01-01,3956.0,2200.249793927429,0.7979776709527923,0.06863294603588183,0.054767558428341655,2022
AR,PE,US,2022-02-01,5193.0,2901.405811511856,0.7898220164155688,0.06385315990881804,0.050432631513688424,2022
AR,PE,US,2022-03-01,4854.0,2562.6349754911516,0.8941441314987469,0.06293202062313977,0.05627029692353854,2022
AR,PE,US,2022-04-01,5663.0,2456.8536934778085,1.3049805590921122,0.06283615162858741,0.08199995628347073,2022
AR,PE,US,2022-05-01,6719.0,2880.613742347381,1.332489046075563,0.06299200250901678,0.08393615333362923,2022
AR,PE,US,2022-06-01,8414.0,2214.636879602466,2.7992684387656093,0.06285218445840696,0.17594013626189292,2022
AR,PE,US,2022-07-01,11225.0,2155.5647638280057,4.207451981199509,0.06383526936207674,0.2685838305478741,2022
AR,PE,US,2022-08-01,11343.0,2239.366488127823,4.0652718347513925,0.06528201240298238,0.26538912633773537,2022
AR,PE,US,2022-09-01,13345.0,2392.3017866753316,4.578309590507821,0.06455377433818561,0.29554716415599286,2022
AR,PE,US,2022-10-01,16403.0,3196.4291968979405,4.1316638003177815,0.06459688109827215,0.26689259524716297,2022
AR,PE,US,2022-11-01,9258.0,2373.1920943219557,2.9010748527902464,0.06433314405571715,0.18663526642097333,2022
AR,PE,US,2022-12-01,18771.0,2849.382157079828,5.587743926647363,0.06445530684981707,0.36015974939025747,2022
AR,PE,VE,2019-01-01,601.0,3909.0873676290757,-0.8462556746679939,0.0537391142653485,-0.04547703039868291,2019
AR,PE,VE,2019-02-01,896.0,5177.341652652447,-0.826938212675039,0.05470816434491271,-0.045240271642114416,2019
AR,PE,VE,2019-03-01,1103.0,5917.912337924546,-0.8136167051797137,0.05621497030171098,-0.04573743891865355,2019
AR,PE,VE,2019-04-01,1488.0,3954.6072633000326,-0.6237300189555873,0.05043969400157289,-0.03146075129571508,2019
AR,PE,VE,2019-05-01,1763.0,3805.348956925725,-0.5367047753159813,0.04537215081074827,-0.024351450006485465,2019
AR,PE,VE,2019-06-01,1945.0,3863.7898995552196,-0.4966082394325067,0.041444285199286036,-0.020581573507356135,2019
AR,PE,VE,2019-07-01,2523.0,4619.021332656614,-0.4537803966908926,0.04204315977034251,-0.0190783617187246,2019
AR,PE,VE,2019-08-01,3121.0,4458.149116162505,-0.2999336902650532,0.041584788294338024,-0.01247267901201179,2019
AR,PE,VE,2019-09-01,3072.0,4723.169341366467,-0.3495892740717962,0.042505622568675065,-0.014859509737752873,2019
AR,PE,VE,2019-10-01,4433.0,5138.073256418247,-0.13722522456010175,0.04415438401460338,-0.006059095261716916,2019
AR,PE,VE,2019-11-01,8582.0,4348.84098540461,0.9733993560129084,0.04596820185695362,0.044745418084630034,2019
AR,PE,VE,2019-12-01,13829.0,4948.065875087426,1.7948294038740256,0.049927745869874425,0.08961178635640056,2019
AR,PE,VE,2020-01-01,8425.0,4673.7366715678145,0.8026261623280151,0.05279451828613886,0.04237426160395985,2020
AR,PE,VE,2020-02-01,9581.0,7289.35976138711,0.31438155251330446,0.05721928543451132,0.017988687788603578,2020
AR,PE,VE,2020-03-01,5120.0,6362.223680672785,-0.19524992251473683,0.0593715729747771,-0.011592295022903272,2020
AR,PE,VE,2020-04-01,1341.0,2054.4202059091112,-0.3472610928655719,0.06391547510234671,-0.02219535773506317,2020
AR,PE,VE,2020-05-01,1237.0,1645.0973959909702,-0.24806883591542092,0.07077739233639872,-0.017557665326019465,2020
AR,PE,VE,2020-06-01,960.0,1380.7809050189533,-0.3047412543796566,0.0808797344842813,-0.02464739174063345,2020
AR,PE,VE,2020-07-01,792.0,1316.76199612783,-0.39852456075660203,0.08524541784799587,-0.03397239270438556,2020
AR,PE,VE,2020-08-01,1300.0,1796.7491886491805,-0.2764710799856507,0.09367254389561748,-0.025897749375824633,2020
AR,PE,VE,2020-09-01,1428.0,3124.4957820102754,-0.5429662577168735,0.09708899658038755,-0.052716049138739354,2020
AR,PE,VE,2020-10-01,1740.0,4520.580901577641,-0.6150937151920551,0.09800096829194704,-0.0602797796791125,2020
AR,PE,VE,2020-11-01,2029.0,3739.411271239093,-0.4574012183132588,0.09718259758549848,-0.044451438534454164,2020
AR,PE,VE,2020-12-01,3463.0,3998.713326694822,-0.1339714260380905,0.09033411653440912,-0.01210219041200584,2020
AR,PE,VE,2021-01-01,4222.0,3642.10377842419,0.15922012574466257,0.08676492262343405,0.013814721890329087,2021
AR,PE,VE,2021-02-01,3424.0,4640.2596700440645,-0.26211026031491785,0.08344180206116104,-0.02187095245939677,2021
AR,PE,VE,2021-03-01,3694.0,5334.691721183182,-0.30755136508980746,0.08073215893206086,-0.024829285686202608,2021
AR,PE,VE,2021-04-01,3547.0,2692.515519528328,0.3173554522803122,0.08080750720481551,0.025644702996628813,2021
AR,PE,VE,2021-05-01,4357.0,3243.7373783136263,0.34320368508536386,0.0798897514690819,0.027418457104742767,2021
AR,PE,VE,2021-06-01,4211.0,2863.4955632776496,0.4705802425549957,0.07816413637990083,0.036782498256755496,2021
AR,PE,VE,2021-07-01,4964.0,3349.167318675254,0.48215945268553634,0.07579174664107485,0.03654370707854149,2021
AR,PE,VE,2021-08-01,3253.0,3105.074490055152,0.04763992310607027,0.07463958726108898,0.003555824197787101,2021
AR,PE,VE,2021-09-01,8509.0,4294.695659718284,0.9812812534795907,0.0743036861323596,0.07291281426611591,2021
AR,PE,VE,2021-10-01,7177.0,4504.959415364847,0.5931331091511621,0.07316032010533029,0.04339380813056883,2021
AR,PE,VE,2021-11-01,5845.0,4059.747275150963,0.43974479292744934,0.07174399582492799,0.03154904858782075,2021
AR,PE,VE,2021-12-01,5845.0,3628.061066294901,0.611053367954777,0.07094339239787144,0.043350198858856666,2021
AR,PE,VE,2022-01-01,8649.0,4910.751303944914,0.7612376324274595,0.06863294603588183,0.05224598134687627,2022
AR,PE,VE,2022-02-01,6369.0,6475.66581370858,-0.01647179097518819,0.06385315990881804,-0.0010517759031233175,2022
AR,PE,VE,2022-03-01,7488.0,5719.561061730562,0.30919137311113226,0.06293202062313977,0.019458037869126678,2022
AR,PE,VE,2022-04-01,8893.0,5483.467155477878,0.6217841281525803,0.06283615162858741,0.03907052175684456,2022
AR,PE,VE,2022-05-01,9999.0,6429.259864237314,0.5552334500615421,0.06299200250901678,0.0349752668793667,2022
AR,PE,VE,2022-06-01,5529.0,4942.861930626324,0.11858273154302032,0.06285218445840696,0.007453183716523666,2022
AR,PE,VE,2022-07-01,6857.0,4811.018505226698,0.425269928301158,0.06383526936207674,0.027147220424695487,2022
AR,PE,VE,2022-08-01,6101.0,4998.056098873545,0.22067457413593952,0.06528201240298238,0.014406080285765259,2022
AR,PE,VE,2022-09-01,6280.0,5339.3933501411875,0.1761635804250946,0.06455377433818561,0.01137202401736837,2022
AR,PE,VE,2022-10-01,8867.0,7134.130356451649,0.24289851137654847,0.06459688109827215,0.015690486258338205,2022
AR,PE,VE,2022-11-01,8271.0,5296.742308018003,0.5615258434377071,0.06433314405571715,0.036124722976886084,2022
AR,PE,VE,2022-12-01,10579.0,6359.553893351555,0.663481460713709,0.06445530684981707,0.04276490113946696,2022
AR,US,BR,2019-01-01,1778.0,1841.7890753633287,-0.03463429999482709,0.005397601213301279,-0.00018694213967391916,2019
AR,US,BR,2019-02-01,1915.0,2439.334401743565,-0.2149497835839097,0.005568715970680525,-0.0011969942927380405,2019
AR,US,BR,2019-03-01,2368.0,2788.2585544661374,-0.15072438450622938,0.005290213105754354,-0.0007973641142716132,2019
AR,US,BR,2019-04-01,1694.0,1863.2360369361768,-0.09082909174216117,0.0052774122387913005,-0.0004793425603983792,2019
AR,US,BR,2019-05-01,1716.0,1792.9121244127882,-0.04289787735022337,0.005098372512786173,-0.0002187093587392514,2019
AR,US,BR,2019-06-01,2236.0,1820.4469118366417,0.22826981960386225,0.005025500080581295,0.0011471699968134874,2019
AR,US,BR,2019-07-01,2184.0,2176.278560516519,0.003548001447778048,0.004960492785515161,1.7599835584700355e-05,2019
AR,US,BR,2019-08-01,2254.0,2100.482687208106,0.07308668323086445,0.005025220194853247,0.0003672766765465822,2019
AR,US,BR,2019-09-01,1875.0,2225.348495931904,-0.15743533948609217,0.005027974972101875,-0.0007915809466604335,2019
AR,US,BR,2019-10-01,1763.0,2420.832870212165,-0.2717382427786151,0.0050733992533201775,-0.001378636598011563,2019
AR,US,BR,2019-11-01,1861.0,2048.9815305070774,-0.09174388724751276,0.005099875106060913,-0.00046788236670684954,2019
AR,US,BR,2019-12-01,2599.0,2331.3097958313147,0.11482395203217963,0.0053203017829644384,0.0006108980767238284,2019
AR,US,BR,2020-01-01,2015.0,2202.0580082454076,-0.08494690309927609,0.0054338135771120205,-0.0004615856353944656,2020
AR,US,BR,2020-02-01,2345.0,3434.4239236225053,-0.3172071788020335,0.005558309882758765,-0.0017631357968173693,2020
AR,US,BR,2020-03-01,3124.0,2997.5984080366266,0.0421676204605954,0.005698317998049168,0.0002402845106055171,2020
AR,US,BR,2020-04-01,1952.0,967.9519375244922,1.0166290539096197,0.005732653642925478,0.005827982249398863,2020
AR,US,BR,2020-05-01,1606.0,775.0971331404461,1.0719983745688761,0.005830383346948655,0.006250161471042403,2020
AR,US,BR,2020-06-01,1422.0,650.5628928617766,1.185799429390647,0.005904152548562222,0.007001140723120417,2020
AR,US,BR,2020-07-01,1220.0,620.4000144393724,0.9664731973007111,0.006030497516045074,0.005828314215646079,2020
AR,US,BR,2020-08-01,1581.0,846.5487505409961,0.8675829348157975,0.006023253147559503,0.005225671642898164,2020
AR,US,BR,2020-09-01,2218.0,1472.1242213666926,0.5066663314192672,0.005914987081828439,0.0029969248051423722,2020
AR,US,BR,2020-10-01,2496.0,2129.897783244388,0.17188722371359214,0.00575741685581196,0.0009896263991073565,2020
AR,US,BR,2020-11-01,1870.0,1761.8452032285634,0.06138723003203917,0.005728362175544395,0.0003516482865769761,2020
AR,US,BR,2020-12-01,2395.0,1884.016863271884,0.2712200440927665,0.0054879384794028286,0.0014884389163620252,2020
