"tl2_id","tl1_id","iso3","name_or","name_en","name_fr","continenta","reg_name_p","EU","EEA","mapineq"
"CL06","CHL225","CHL","O'Higgins","O'Higgins","O'Higgins","t","O'Higgins",FALSE,FALSE,FALSE
"CL07","CHL225","CHL","Maule","Maule","Maule","t","Maule",FALSE,FALSE,FALSE
"CL08","CHL225","CHL","Bío-Bío","Bío-Bío","Bío-Bío","t","Bío-Bío",FALSE,FALSE,FALSE
"CL09","CHL225","CHL","Araucanía","Araucanía","Araucanía","t","Araucanía",FALSE,FALSE,FALSE
"CL10","CHL225","CHL","Los Lagos","Los Lagos","Los Lagos","t","Los Lagos",FALSE,FALSE,FALSE
"CL11","CHL225","CHL","Aysén","Aysén","Aysén","t","Aysen",FALSE,FALSE,FALSE
"CL12","CHL225","CHL","Magallanes","Magallanes","Magallanes","t","Magallanes",FALSE,FALSE,FALSE
"CL13","CHL225","CHL","Metropolitana de Santiago","Santiago Metropolitan","Métropole de Santiago","t","Santiago",FALSE,FALSE,FALSE
"CL14","CHL225","CHL","Los Ríos","Los Ríos","Los Ríos","t","Los Ríos",FALSE,FALSE,FALSE
"CL15","CHL225","CHL","Arica y Parinacota","Arica y Parinacota","Arica y Parinacota","t","Arica y Parinacota",FALSE,FALSE,FALSE
"CO05","COL160","COL","Antioquia","Antioquia","Antioquia","t","Antioquia",FALSE,FALSE,FALSE
"CO08","COL160","COL","Atlántico","Atlántico","Atlántico","t","Atlántico",FALSE,FALSE,FALSE
"CO11","COL160","COL","Bogotá Capital District","Bogotá Capital District","Bogotá Capital District","t","Bogotá Capital District",FALSE,FALSE,FALSE
"CO13","COL160","COL","Bolívar","Bolívar","Bolívar","t","Bolívar",FALSE,FALSE,FALSE
"CO15","COL160","COL","Boyacá","Boyacá","Boyacá","t","Boyacá",FALSE,FALSE,FALSE
"CO17","COL160","COL","Caldas","Caldas","Caldas","t","Caldas",FALSE,FALSE,FALSE
"CO18","COL160","COL","Caquetá","Caquetá","Caquetá","t","Caquetá",FALSE,FALSE,FALSE
"CO19","COL160","COL","Cauca","Cauca","Cauca","t","Cauca",FALSE,FALSE,FALSE
"CO20","COL160","COL","Cesar","Cesar","Cesar","t","Cesar",FALSE,FALSE,FALSE
"CO23","COL160","COL","Córdoba (CO)","Córdoba (CO)","Córdoba (CO)","t","Córdoba (CO)",FALSE,FALSE,FALSE
"CO25","COL160","COL","Cundinamarca","Cundinamarca","Cundinamarca","t","Cundinamarca",FALSE,FALSE,FALSE
"CO27","COL160","COL","Chocó","Chocó","Chocó","t","Chocó",FALSE,FALSE,FALSE
"CO41","COL160","COL","Huila","Huila","Huila","t","Huila",FALSE,FALSE,FALSE
"CO44","COL160","COL","La Guajira","La Guajira","La Guajira","t","La Guajira",FALSE,FALSE,FALSE
"CO47","COL160","COL","Magdalena","Magdalena","Magdalena","t","Magdalena",FALSE,FALSE,FALSE
"CO50","COL160","COL","Meta","Meta","Meta","t","Meta",FALSE,FALSE,FALSE
"CO52","COL160","COL","Nariño","Nariño","Nariño","t","Nariño",FALSE,FALSE,FALSE
"CO54","COL160","COL","Norte de Santander","Norte de Santander","Norte de Santander","t","Norte de Santander",FALSE,FALSE,FALSE
"CO63","COL160","COL","Quindio","Quindio","Quindio","t","Quindio",FALSE,FALSE,FALSE
"CO66","COL160","COL","Risaralda","Risaralda","Risaralda","t","Risaralda",FALSE,FALSE,FALSE
"CO68","COL160","COL","Santander","Santander","Santander","t","Santander",FALSE,FALSE,FALSE
"CO70","COL160","COL","Sucre","Sucre","Sucre","t","Sucre",FALSE,FALSE,FALSE
"CO73","COL160","COL","Tolima","Tolima","Tolima","t","Tolima",FALSE,FALSE,FALSE
"CO76","COL160","COL","Valle del Cauca","Valle del Cauca","Valle del Cauca","t","Valle del Cauca",FALSE,FALSE,FALSE
"CO81","COL160","COL","Arauca","Arauca","Arauca","t","Arauca",FALSE,FALSE,FALSE
"CO85","COL160","COL","Casanare","Casanare","Casanare","t","Casanare",FALSE,FALSE,FALSE
"CO86","COL160","COL","Putumayo","Putumayo","Putumayo","t","Putumayo",FALSE,FALSE,FALSE
"CO88","COL160","COL","San Andrés","San Andrés","San Andrés","t","San Andrés",FALSE,FALSE,FALSE
"CO90","COL160","COL","Grupo Amazonía","Grupo Amazonía","Grupo Amazonía","t","Grupo Amazonía",FALSE,FALSE,FALSE
"CO91","COL160","COL","Amazonas","Amazonas","Amazonas","t","Amazonas",FALSE,FALSE,FALSE
"CO94","COL160","COL","Guainía","Guainía","Guainía","t","Guainía",FALSE,FALSE,FALSE
"CO95","COL160","COL","Guaviare","Guaviare","Guaviare","t","Guaviare",FALSE,FALSE,FALSE
"CO97","COL160","COL","Vaupés","Vaupés","Vaupés","t","Vaupés",FALSE,FALSE,FALSE
"CY00","CYP58","CYP","Kypros/kibris","Cyprus","Chypre","f","Cyprus",TRUE,TRUE,TRUE
"CZ01","CZE18","CZE","Praha","Prague","Prague","f","Prague",TRUE,TRUE,TRUE
"CZ02","CZE18","CZE","Stredni Cechy","Central Bohemian Region","Région de Bohême centrale","f","Central Bohemia",TRUE,TRUE,TRUE
"CZ03","CZE18","CZE","Jihozápad","Southwest","Sud-Ouest","f","Southwest",TRUE,TRUE,TRUE
"CZ04","CZE18","CZE","Severozápad","Northwest","Nord-Ouest","f","Northwest",TRUE,TRUE,TRUE
"CZ05","CZE18","CZE","Severovýchod","Northeast","Nord-Est","f","Northeast",TRUE,TRUE,TRUE
"CZ06","CZE18","CZE","Jihovýchod","Southeast","Sud-Est","f","Southeast",TRUE,TRUE,TRUE
"CZ07","CZE18","CZE","Strední Morava","Central Moravia","Moravie centrale","f","Central Moravia",TRUE,TRUE,TRUE
"CZ08","CZE18","CZE","Moravskoslezsko","Moravia-Silesia","Moravie-Silésie","f","Moravia-Silesia",TRUE,TRUE,TRUE
"DE1","DEU26","DEU","Baden-Württemberg","Baden-Württemberg","Baden-Württemberg","f","Baden-Württemberg",TRUE,TRUE,TRUE
"DE2","DEU26","DEU","Bayern","Bavaria","Bavière","f","Bavaria",TRUE,TRUE,TRUE
"DE3","DEU26","DEU","Berlin","Berlin","Berlin","f","Berlin",TRUE,TRUE,TRUE
"DE4","DEU26","DEU","Brandenburg","Brandenburg","Branderbourg","f","Brandenburg",TRUE,TRUE,TRUE
