,geo,freq,obsTime,indicator,obsValue,unit
34,SI031,6 years,2018,green urban area,0.0,square meters
35,SI033,6 years,2018,green urban area,0.0,square meters
36,SI032,6 years,2018,green urban area,3017514.923884866,square meters
37,SI044,6 years,2018,green urban area,0.0,square meters
38,BE,6 years,2018,green urban area,135050531.69489,square meters
39,BE3,6 years,2018,green urban area,50206214.00625496,square meters
40,BE2,6 years,2018,green urban area,71250463.29761356,square meters
41,BE1,6 years,2018,green urban area,18251267.56781109,square meters
42,BE24,6 years,2018,green urban area,25176751.01481299,square meters
43,BE25,6 years,2018,green urban area,8365508.737649927,square meters
44,BE22,6 years,2018,green urban area,14288.45645091261,square meters
45,BE23,6 years,2018,green urban area,15096534.00338161,square meters
46,BE10,6 years,2018,green urban area,18251267.56781109,square meters
47,BE21,6 years,2018,green urban area,22747415.34522315,square meters
48,BE33,6 years,2018,green urban area,14160530.42742506,square meters
49,BE31,6 years,2018,green urban area,10918104.01817623,square meters
50,BE32,6 years,2018,green urban area,15702273.60067351,square meters
51,BE34,6 years,2018,green urban area,0.0,square meters
52,BE35,6 years,2018,green urban area,9432685.841284676,square meters
53,BE353,6 years,2018,green urban area,398167.1125462828,square meters
54,BE211,6 years,2018,green urban area,22747415.34522315,square meters
55,BE335,6 years,2018,green urban area,367338.1653922805,square meters
56,BE336,6 years,2018,green urban area,0.0,square meters
57,BE251,6 years,2018,green urban area,4278890.256429553,square meters
58,BE334,6 years,2018,green urban area,1313090.660636457,square meters
59,BE100,6 years,2018,green urban area,18251267.56781109,square meters
60,BE212,6 years,2018,green urban area,158707.1207005653,square meters
61,BE213,6 years,2018,green urban area,6302.104877796388,square meters
62,BE224,6 years,2018,green urban area,0.0,square meters
63,BE225,6 years,2018,green urban area,0.0,square meters
64,BE223,6 years,2018,green urban area,14288.45645091261,square meters
65,BE253,6 years,2018,green urban area,0.0,square meters
66,BE254,6 years,2018,green urban area,2757513.881653388,square meters
67,BE255,6 years,2018,green urban area,1329104.599566986,square meters
68,BE256,6 years,2018,green urban area,0.0,square meters
69,BE257,6 years,2018,green urban area,0.0,square meters
70,BE258,6 years,2018,green urban area,0.0,square meters
71,BE343,6 years,2018,green urban area,0.0,square meters
72,BE233,6 years,2018,green urban area,781614.857571736,square meters
73,BE234,6 years,2018,green urban area,10544607.12178442,square meters
74,BE235,6 years,2018,green urban area,36914.87300571351,square meters
75,BE236,6 years,2018,green urban area,1027270.097360101,square meters
76,BE344,6 years,2018,green urban area,0.0,square meters
77,BE345,6 years,2018,green urban area,0.0,square meters
78,BE341,6 years,2018,green urban area,0.0,square meters
79,BE32D,6 years,2018,green urban area,759562.3631327816,square meters
80,BE331,6 years,2018,green urban area,1040484.838584861,square meters
81,BE332,6 years,2018,green urban area,11489892.11262438,square meters
82,BE232,6 years,2018,green urban area,351521.5535474386,square meters
83,BE310,6 years,2018,green urban area,10918104.01817623,square meters
84,BE32A,6 years,2018,green urban area,777700.9507810412,square meters
85,BE32B,6 years,2018,green urban area,10493686.98969284,square meters
86,BE323,6 years,2018,green urban area,3532035.136435756,square meters
87,BE252,6 years,2018,green urban area,0.0,square meters
88,BE32C,6 years,2018,green urban area,139288.1606310958,square meters
89,BE231,6 years,2018,green urban area,2354605.500112211,square meters
90,BE328,6 years,2018,green urban area,0.0,square meters
91,BE351,6 years,2018,green urban area,655512.549215614,square meters
92,BE352,6 years,2018,green urban area,8379006.179522781,square meters
93,BE241,6 years,2018,green urban area,20730953.56055869,square meters
94,BE242,6 years,2018,green urban area,5020352.169761696,square meters
95,BE342,6 years,2018,green urban area,0.0,square meters
96,BE329,6 years,2018,green urban area,0.0,square meters
97,SK,6 years,2018,green urban area,32494063.48797239,square meters
98,SK0,6 years,2018,green urban area,32494063.48797239,square meters
99,SK03,6 years,2018,green urban area,4711554.668048937,square meters
100,SK04,6 years,2018,green urban area,8642434.088620406,square meters
101,SK02,6 years,2018,green urban area,10082372.17873099,square meters
102,SK01,6 years,2018,green urban area,9057702.552572064,square meters
103,SK021,6 years,2018,green urban area,4094131.034090541,square meters
104,SK023,6 years,2018,green urban area,4582801.540944232,square meters
105,SK042,6 years,2018,green urban area,5938412.038364185,square meters
106,SK041,6 years,2018,green urban area,2704022.05025622,square meters
107,SK022,6 years,2018,green urban area,1405439.603696213,square meters
108,SK032,6 years,2018,green urban area,2571663.432791797,square meters
109,SK010,6 years,2018,green urban area,9057702.552572064,square meters
110,SK031,6 years,2018,green urban area,2139891.23525714,square meters
111,NO,6 years,2018,green urban area,42926686.97377267,square meters
112,NO092,6 years,2018,green urban area,2175716.078863153,square meters
113,NO091,6 years,2018,green urban area,0.0,square meters
114,NO020,6 years,2018,green urban area,0.0,square meters
115,NO082,6 years,2018,green urban area,12015966.51813551,square meters
116,NO0A2,6 years,2018,green urban area,5273338.498269156,square meters
117,NO060,6 years,2018,green urban area,7128787.824613599,square meters
118,NO074,6 years,2018,green urban area,907258.7100225422,square meters
119,NO0A1,6 years,2018,green urban area,5839480.696309888,square meters
120,NO081,6 years,2018,green urban area,10457239.68177624,square meters
121,NO02,6 years,2018,green urban area,0.0,square meters
122,NO06,6 years,2018,green urban area,7128787.824613599,square meters
123,NO07,6 years,2018,green urban area,907258.7100225422,square meters
124,NO08,6 years,2018,green urban area,21602105.16569433,square meters
125,NO0A3,6 years,2018,green urban area,0.0,square meters
126,NO071,6 years,2018,green urban area,0.0,square meters
127,NO09,6 years,2018,green urban area,2175716.078863153,square meters
128,NO0A,6 years,2018,green urban area,11112819.19457904,square meters
129,NO0B1,6 years,2018,green urban area,0.0,square meters
130,NO0,6 years,2018,green urban area,42926686.97377267,square meters
131,NO0B,6 years,2018,green urban area,0.0,square meters
132,NO0B2,6 years,2018,green urban area,0.0,square meters
133,BG,6 years,2018,green urban area,72851814.17154422,square meters
134,BG3,6 years,2018,green urban area,40727062.40928406,square meters
135,BG4,6 years,2018,green urban area,32124751.76226014,square meters
136,BG33,6 years,2018,green urban area,14451475.47316481,square meters
137,BG34,6 years,2018,green urban area,13348655.55879126,square meters
138,BG41,6 years,2018,green urban area,24358558.28889051,square meters
139,BG32,6 years,2018,green urban area,4522545.635131016,square meters
140,BG42,6 years,2018,green urban area,7766193.473369636,square meters
141,BG31,6 years,2018,green urban area,8404385.742196983,square meters
142,BG314,6 years,2018,green urban area,4513020.096438129,square meters
143,BG331,6 years,2018,green urban area,8366398.994974444,square meters
144,BG334,6 years,2018,green urban area,0.0,square meters
145,BG311,6 years,2018,green urban area,1788310.058343148,square meters
146,BG312,6 years,2018,green urban area,0.0,square meters
147,BG313,6 years,2018,green urban area,2103055.587415706,square meters
148,BG332,6 years,2018,green urban area,2174848.5399185,square meters
149,BG333,6 years,2018,green urban area,3910227.938271863,square meters
150,BG412,6 years,2018,green urban area,1764420.654119288,square meters
151,BG341,6 years,2018,green urban area,3794354.407843919,square meters
152,BG325,6 years,2018,green urban area,0.0,square meters
153,BG344,6 years,2018,green urban area,5967894.17567094,square meters
154,BG411,6 years,2018,green urban area,20428483.00735553,square meters
155,BG323,6 years,2018,green urban area,3532422.554771416,square meters
156,BG425,6 years,2018,green urban area,0.0,square meters
157,BG342,6 years,2018,green urban area,1399794.377319374,square meters
158,BG343,6 years,2018,green urban area,2186612.597957027,square meters
159,BG422,6 years,2018,green urban area,619735.6946940913,square meters
160,BG324,6 years,2018,green urban area,0.0,square meters
161,BG423,6 years,2018,green urban area,654211.4830605672,square meters
162,BG424,6 years,2018,green urban area,0.0,square meters
163,BG322,6 years,2018,green urban area,0.0,square meters
164,BG315,6 years,2018,green urban area,0.0,square meters
165,BG321,6 years,2018,green urban area,990123.0803596004,square meters
166,BG415,6 years,2018,green urban area,45470.8971086527,square meters
167,BG413,6 years,2018,green urban area,329751.0170958241,square meters
168,BG414,6 years,2018,green urban area,1790432.713211208,square meters
169,BG421,6 years,2018,green urban area,6492246.295614976,square meters
170,TR,6 years,2018,green urban area,251951513.401835,square meters
171,TRC,6 years,2018,green urban area,23752802.86912332,square meters
172,TR82,6 years,2018,green urban area,1687878.007211063,square meters
173,TR613,6 years,2018,green urban area,609305.1513239781,square meters
174,TR9,6 years,2018,green urban area,3296745.000806974,square meters
175,TRC2,6 years,2018,green urban area,9372313.370443946,square meters
176,TRC3,6 years,2018,green urban area,2595220.159413196,square meters
177,TR81,6 years,2018,green urban area,3751233.4164911,square meters
178,TRB2,6 years,2018,green urban area,2459039.805607653,square meters
179,TR83,6 years,2018,green urban area,5373653.784045698,square meters
180,TR7,6 years,2018,green urban area,15612822.09727857,square meters
181,TR5,6 years,2018,green urban area,46529924.10931206,square meters
182,TR90,6 years,2018,green urban area,3296745.000806974,square meters
183,TR8,6 years,2018,green urban area,10779970.7282674,square meters
184,TR3,6 years,2018,green urban area,29560945.7153962,square meters
185,TR71,6 years,2018,green urban area,5551298.176265792,square meters
186,TRC1,6 years,2018,green urban area,11785269.33926617,square meters
187,TR6,6 years,2018,green urban area,29343598.533064,square meters
188,TRA2,6 years,2018,green urban area,988057.48590441,square meters
189,TRB1,6 years,2018,green urban area,4570527.197215138,square meters
190,TR4,6 years,2018,green urban area,31816995.96520042,square meters
191,TRA1,6 years,2018,green urban area,1916743.107183075,square meters
192,TRB,6 years,2018,green urban area,7029567.002822792,square meters
193,TR1,6 years,2018,green urban area,44737040.29376392,square meters
194,TRA,6 years,2018,green urban area,2904800.593087485,square meters
195,TR63,6 years,2018,green urban area,6268780.451327936,square meters
196,TR2,6 years,2018,green urban area,6615452.426707976,square meters
197,TR72,6 years,2018,green urban area,10061523.92101278,square meters
198,TR821,6 years,2018,green urban area,852076.4492739782,square meters
199,TR822,6 years,2018,green urban area,835801.5579370849,square meters
200,TR425,6 years,2018,green urban area,1181828.493297314,square meters
201,TR510,6 years,2018,green urban area,32303745.83668267,square meters
202,TR213,6 years,2018,green urban area,0.0,square meters
203,TR723,6 years,2018,green urban area,1057924.628054354,square meters
204,TR811,6 years,2018,green urban area,3146760.45886678,square meters
205,TRB22,6 years,2018,green urban area,607911.0786046155,square meters
206,TRB23,6 years,2018,green urban area,0.0,square meters
207,TR823,6 years,2018,green urban area,0.0,square meters
208,TR831,6 years,2018,green urban area,2557580.080988638,square meters
209,TR832,6 years,2018,green urban area,773420.4576855319,square meters
210,TR221,6 years,2018,green urban area,1547327.126761306,square meters
211,TR812,6 years,2018,green urban area,604472.9576243199,square meters
212,TR813,6 years,2018,green urban area,0.0,square meters
213,TR722,6 years,2018,green urban area,1959429.489289612,square meters
214,TR323,6 years,2018,green urban area,469496.2826491682,square meters
215,TR424,6 years,2018,green urban area,921549.9306617624,square meters
216,TR412,6 years,2018,green urban area,5550343.647770417,square meters
217,TR413,6 years,2018,green urban area,28467.94594617036,square meters
218,TR421,6 years,2018,green urban area,10616853.98425254,square meters
219,TRB24,6 years,2018,green urban area,0.0,square meters
220,TR322,6 years,2018,green urban area,3012168.218062591,square meters
221,TRB21,6 years,2018,green urban area,1851128.727003038,square meters
222,TRC11,6 years,2018,green urban area,10228831.94270185,square meters
223,TRC22,6 years,2018,green urban area,4121782.808688164,square meters
224,TRC31,6 years,2018,green urban area,970294.179915026,square meters
225,TR521,6 years,2018,green urban area,12655207.25853135,square meters
226,TR522,6 years,2018,green urban area,1570971.014098041,square meters
227,TR901,6 years,2018,green urban area,2027746.259800032,square meters
228,TR611,6 years,2018,green urban area,11054628.78526964,square meters
229,TR612,6 years,2018,green urban area,1483963.056641547,square meters
230,TR833,6 years,2018,green urban area,2042653.245371528,square meters
231,TR834,6 years,2018,green urban area,0.0,square meters
232,TR902,6 years,2018,green urban area,691043.9659346528,square meters
233,TR903,6 years,2018,green urban area,322388.6734093348,square meters
234,TRC12,6 years,2018,green urban area,877093.6134166146,square meters
235,TRC13,6 years,2018,green urban area,679343.783147711,square meters
236,TRC21,6 years,2018,green urban area,5250530.561755782,square meters
237,TR633,6 years,2018,green urban area,1886868.44592478,square meters
238,TR711,6 years,2018,green urban area,0.0,square meters
239,TR333,6 years,2018,green urban area,2840000.822041807,square meters
240,TR334,6 years,2018,green urban area,1309269.57409196,square meters
241,TR411,6 years,2018,green urban area,10110689.65367452,square meters
242,TRA12,6 years,2018,green urban area,0.0,square meters
243,TRA13,6 years,2018,green urban area,0.0,square meters
244,TR712,6 years,2018,green urban area,2570366.330521329,square meters
245,TR713,6 years,2018,green urban area,1510706.56568457,square meters
246,TR714,6 years,2018,green urban area,1470225.280059893,square meters
247,TR715,6 years,2018,green urban area,0.0,square meters
248,TR721,6 years,2018,green urban area,7044169.803668816,square meters
249,TRB12,6 years,2018,green urban area,2331802.166576853,square meters
250,TRB13,6 years,2018,green urban area,909351.1682431086,square meters
251,TRB14,6 years,2018,green urban area,0.0,square meters
252,TR100,6 years,2018,green urban area,44737040.29376392,square meters
253,TRA21,6 years,2018,green urban area,537324.444484697,square meters
254,TRA22,6 years,2018,green urban area,450733.041419713,square meters
255,TRA23,6 years,2018,green urban area,0.0,square meters
256,TRA24,6 years,2018,green urban area,0.0,square meters
257,TR422,6 years,2018,green urban area,3457037.750947141,square meters
258,TR423,6 years,2018,green urban area,758746.1670508552,square meters
259,TR61,6 years,2018,green urban area,13147896.99323516,square meters
260,TR62,6 years,2018,green urban area,9926921.088500902,square meters
261,TR211,6 years,2018,green urban area,2904623.696081334,square meters
262,TR212,6 years,2018,green urban area,1393792.787183492,square meters
263,TRC34,6 years,2018,green urban area,381434.4377980732,square meters
264,TR33,6 years,2018,green urban area,9630086.292403292,square meters
265,TR41,6 years,2018,green urban area,15669589.6855427,square meters
266,TR222,6 years,2018,green urban area,769708.8166818458,square meters
267,TR331,6 years,2018,green urban area,3564307.108795282,square meters
268,TR332,6 years,2018,green urban area,1916508.787474244,square meters
269,TR310,6 years,2018,green urban area,15341820.80357074,square meters
270,TRB11,6 years,2018,green urban area,1329373.862395177,square meters
271,TR21,6 years,2018,green urban area,4298416.483264826,square meters
272,TR42,6 years,2018,green urban area,16147406.27965772,square meters
273,TR621,6 years,2018,green urban area,4884066.939440552,square meters
274,TR622,6 years,2018,green urban area,5042854.14906035,square meters
275,TR631,6 years,2018,green urban area,2656340.543792584,square meters
276,TR632,6 years,2018,green urban area,1725571.461610572,square meters
277,TR904,6 years,2018,green urban area,255566.1016629543,square meters
278,TR22,6 years,2018,green urban area,2317035.943443151,square meters
279,TR905,6 years,2018,green urban area,0.0,square meters
280,TR906,6 years,2018,green urban area,0.0,square meters
281,TRA11,6 years,2018,green urban area,1916743.107183075,square meters
282,TRC32,6 years,2018,green urban area,895279.6876241761,square meters
283,TRC33,6 years,2018,green urban area,348211.8540759204,square meters
284,TR321,6 years,2018,green urban area,1107374.118710413,square meters
285,TR31,6 years,2018,green urban area,15341820.80357074,square meters
286,TR10,6 years,2018,green urban area,44737040.29376392,square meters
287,TR32,6 years,2018,green urban area,4589038.619422172,square meters
288,TR51,6 years,2018,green urban area,32303745.83668267,square meters
289,TR52,6 years,2018,green urban area,14226178.27262939,square meters
290,PL,6 years,2018,green urban area,340571127.7536578,square meters
291,PL4,6 years,2018,green urban area,61205432.22937973,square meters
292,PL2,6 years,2018,green urban area,91617354.31266189,square meters
293,PL7,6 years,2018,green urban area,25382036.87431902,square meters
294,PL8,6 years,2018,green urban area,34976076.11800845,square meters
295,PL9,6 years,2018,green urban area,57657192.54240157,square meters
296,PL5,6 years,2018,green urban area,28888841.71445704,square meters
297,PL6,6 years,2018,green urban area,40844193.96243005,square meters
298,PL22,6 years,2018,green urban area,64166500.61931293,square meters
299,PL61,6 years,2018,green urban area,17513785.68816339,square meters
300,PL41,6 years,2018,green urban area,37066110.81531995,square meters
301,PL62,6 years,2018,green urban area,7005791.144414629,square meters
302,PL42,6 years,2018,green urban area,15993104.37706397,square meters
303,PL51,6 years,2018,green urban area,25301580.13055389,square meters
304,PL52,6 years,2018,green urban area,3587261.583903147,square meters
305,PL71,6 years,2018,green urban area,18428474.76247758,square meters
306,PL63,6 years,2018,green urban area,16324617.12985204,square meters
307,PL43,6 years,2018,green urban area,8146217.036995823,square meters
308,PL92,6 years,2018,green urban area,8733519.284618413,square meters
309,PL72,6 years,2018,green urban area,6953562.11184144,square meters
310,PL82,6 years,2018,green urban area,11926593.11898045,square meters
311,PL81,6 years,2018,green urban area,14278637.39065299,square meters
312,PL21,6 years,2018,green urban area,27450853.69334894,square meters
313,PL84,6 years,2018,green urban area,8770845.608375007,square meters
314,PL91,6 years,2018,green urban area,48931952.88072315,square meters
315,PL922,6 years,2018,green urban area,383798.1248166029,square meters
316,PL923,6 years,2018,green urban area,3007408.701418202,square meters
317,PL515,6 years,2018,green urban area,2319910.940719565,square meters
318,PL516,6 years,2018,green urban area,3953528.703159274,square meters
319,PL424,6 years,2018,green urban area,10226681.58740873,square meters
320,PL414,6 years,2018,green urban area,4184821.918888724,square meters
321,PL811,6 years,2018,green urban area,0.0,square meters
322,PL427,6 years,2018,green urban area,4418.351224840813,square meters
323,PL518,6 years,2018,green urban area,4307414.459850915,square meters
324,PL22C,6 years,2018,green urban area,4392342.435100922,square meters
325,PL428,6 years,2018,green urban area,2262916.87511952,square meters
326,PL228,6 years,2018,green urban area,6145937.48499311,square meters
327,PL229,6 years,2018,green urban area,10464160.00123937,square meters
328,PL22A,6 years,2018,green urban area,17054354.25384655,square meters
329,PL426,6 years,2018,green urban area,3507354.031175584,square meters
330,PL843,6 years,2018,green urban area,811143.1251139126,square meters
331,PL912,6 years,2018,green urban area,7134779.099787062,square meters
332,PL911,6 years,2018,green urban area,28920517.63381249,square meters
333,PL714,6 years,2018,green urban area,82765.94427668997,square meters
334,PL823,6 years,2018,green urban area,6896800.127753779,square meters
335,PL22B,6 years,2018,green urban area,12191290.10075498,square meters
336,PL821,6 years,2018,green urban area,0.0,square meters
337,PL411,6 years,2018,green urban area,1139746.846716,square meters
338,PL217,6 years,2018,green urban area,2244811.693523837,square meters
339,PL814,6 years,2018,green urban area,10105998.36645475,square meters
340,PL517,6 years,2018,green urban area,2778243.910204995,square meters
341,PL812,6 years,2018,green urban area,3332193.270112991,square meters
342,PL214,6 years,2018,green urban area,7353654.389940728,square meters
343,PL218,6 years,2018,green urban area,1368775.875355734,square meters
344,PL713,6 years,2018,green urban area,1969918.578835716,square meters
345,PL913,6 years,2018,green urban area,13295714.30528191,square meters
346,PL224,6 years,2018,green urban area,6436392.721585346,square meters
347,PL225,6 years,2018,green urban area,2323120.566310639,square meters
348,PL227,6 years,2018,green urban area,5663724.282747161,square meters
349,PL415,6 years,2018,green urban area,15717750.95048022,square meters
350,PL431,6 years,2018,green urban area,4218844.067268139,square meters
351,PL822,6 years,2018,green urban area,4003388.694005101,square meters
352,PL616,6 years,2018,green urban area,2189079.357303231,square meters
353,PL418,6 years,2018,green urban area,10533226.59478784,square meters
354,PL514,6 years,2018,green urban area,12280693.58292373,square meters
355,PL842,6 years,2018,green urban area,755059.7663983278,square meters
356,PL432,6 years,2018,green urban area,3927372.969727684,square meters
357,PL416,6 years,2018,green urban area,4283557.777019414,square meters
358,PL219,6 years,2018,green urban area,0.0,square meters
359,PL21A,6 years,2018,green urban area,303224.7706537754,square meters
360,PL925,6 years,2018,green urban area,1515742.119024185,square meters
361,PL815,6 years,2018,green urban area,849972.5393745904,square meters
362,PL712,6 years,2018,green urban area,4522294.261826169,square meters
363,PL637,6 years,2018,green urban area,0.0,square meters
364,PL638,6 years,2018,green urban area,542372.672441289,square meters
365,PL711,6 years,2018,green urban area,11716505.66907153,square meters
366,PL617,6 years,2018,green urban area,1868684.306845665,square meters
367,PL618,6 years,2018,green urban area,198777.0809898804,square meters
368,PL924,6 years,2018,green urban area,193116.047093366,square meters
369,PL926,6 years,2018,green urban area,400342.0885833903,square meters
370,PL622,6 years,2018,green urban area,4916990.219743104,square meters
371,PL841,6 years,2018,green urban area,7204642.716862767,square meters
372,PL623,6 years,2018,green urban area,92178.58626574444,square meters
373,PL633,6 years,2018,green urban area,11964551.65611697,square meters
374,PL213,6 years,2018,green urban area,16190476.2429757,square meters
375,PL921,6 years,2018,green urban area,3233112.203682667,square meters
376,PL824,6 years,2018,green urban area,1026404.297221569,square meters
377,PL634,6 years,2018,green urban area,2902476.350807399,square meters
378,PL636,6 years,2018,green urban area,915216.4504863762,square meters
379,PL524,6 years,2018,green urban area,3491029.263817509,square meters
380,PL613,6 years,2018,green urban area,12031532.26220904,square meters
381,PL715,6 years,2018,green urban area,239434.9420642297,square meters
382,PL721,6 years,2018,green urban area,6720021.374677121,square meters
383,PL523,6 years,2018,green urban area,96232.32008563854,square meters
384,PL722,6 years,2018,green urban area,233540.7371643199,square meters
385,PL619,6 years,2018,green urban area,1225712.680815568,square meters
386,PL621,6 years,2018,green urban area,1996622.338405781,square meters
387,PL417,6 years,2018,green urban area,2085568.418768926,square meters
388,UK,6 years,2018,green urban area,1049761882.91468,square meters
389,UKJ,6 years,2018,green urban area,121531155.0104186,square meters
390,UKD,6 years,2018,green urban area,151666593.1325537,square meters
391,UKL,6 years,2018,green urban area,41617742.8014259,square meters
392,UKN,6 years,2018,green urban area,19169749.75575532,square meters
393,UKC,6 years,2018,green urban area,44142644.62157122,square meters
394,UKH,6 years,2018,green urban area,80360732.88099687,square meters
395,UKI,6 years,2018,green urban area,165669655.8719035,square meters
396,UKF,6 years,2018,green urban area,64672045.17644262,square meters
397,UKG,6 years,2018,green urban area,109805100.1110456,square meters
398,UKE,6 years,2018,green urban area,99199268.7676888,square meters
399,UKK,6 years,2018,green urban area,46902069.62243856,square meters
400,UKM,6 years,2018,green urban area,117322915.3158592,square meters
401,UKG1,6 years,2018,green urban area,19143405.98336945,square meters
402,UKL2,6 years,2018,green urban area,14273207.37245588,square meters
403,UKM5,6 years,2018,green urban area,14294899.9870614,square meters
404,UKM6,6 years,2018,green urban area,0.0,square meters
405,UKF3,6 years,2018,green urban area,7963322.134396682,square meters
406,UKK3,6 years,2018,green urban area,0.0,square meters
407,UKM8,6 years,2018,green urban area,53583583.87522259,square meters
408,UKM9,6 years,2018,green urban area,8341671.507836605,square meters
409,UKJ1,6 years,2018,green urban area,45342627.26152721,square meters
410,UKM7,6 years,2018,green urban area,42048670.35800128,square meters
411,UKG2,6 years,2018,green urban area,29453708.52551921,square meters
412,UKH3,6 years,2018,green urban area,34148616.98875201,square meters
413,UKL1,6 years,2018,green urban area,27439321.08566581,square meters
414,UKN0,6 years,2018,green urban area,19169749.75575532,square meters
415,UKC1,6 years,2018,green urban area,16745347.16442519,square meters
416,UKH2,6 years,2018,green urban area,21512435.36401825,square meters
417,UKE3,6 years,2018,green urban area,30273285.16981458,square meters
418,UKJ3,6 years,2018,green urban area,19479453.35877421,square meters
419,UKC2,6 years,2018,green urban area,27397297.45714603,square meters
420,UKG3,6 years,2018,green urban area,65981203.63020062,square meters
421,UKD6,6 years,2018,green urban area,22529002.16755444,square meters
422,UKD7,6 years,2018,green urban area,44706199.30079092,square meters
423,UKH1,6 years,2018,green urban area,25125990.20147352,square meters
424,UKI7,6 years,2018,green urban area,57539189.71879056,square meters
425,UKI3,6 years,2018,green urban area,18157069.04061444,square meters
426,UKI4,6 years,2018,green urban area,28718518.64658963,square meters
427,UKI5,6 years,2018,green urban area,44459093.77465929,square meters
428,UKD1,6 years,2018,green urban area,0.0,square meters
429,UKD3,6 years,2018,green urban area,69376995.92692965,square meters
430,UKD4,6 years,2018,green urban area,17580651.67201519,square meters
431,UKE4,6 years,2018,green urban area,47962093.25515829,square meters
432,UKE2,6 years,2018,green urban area,9144457.064104144,square meters
433,UKF1,6 years,2018,green urban area,27369122.14105307,square meters
434,UKJ4,6 years,2018,green urban area,15238954.176072,square meters
435,UKI6,6 years,2018,green urban area,36577204.78825581,square meters
436,UKF2,6 years,2018,green urban area,29339600.90099288,square meters
437,UKK4,6 years,2018,green urban area,11951026.40798421,square meters
438,UKK1,6 years,2018,green urban area,23621105.28627276,square meters
439,UKK2,6 years,2018,green urban area,11329937.92818159,square meters
440,UKE1,6 years,2018,green urban area,12495649.54471609,square meters
441,UKJ2,6 years,2018,green urban area,42327833.07034604,square meters
442,UKM92,6 years,2018,green urban area,0.0,square meters
443,UKK13,6 years,2018,green urban area,1942920.707131743,square meters
444,UKK14,6 years,2018,green urban area,0.0,square meters
445,UKL22,6 years,2018,green urban area,10539870.83749308,square meters
446,UKF14,6 years,2018,green urban area,6751345.763177684,square meters
447,UKC14,6 years,2018,green urban area,0.0,square meters
448,UKC21,6 years,2018,green urban area,6979548.598058147,square meters
449,UKF15,6 years,2018,green urban area,1788968.505010207,square meters
450,UKM65,6 years,2018,green urban area,0.0,square meters
451,UKH23,6 years,2018,green urban area,21512435.36401825,square meters
452,UKH24,6 years,2018,green urban area,0.0,square meters
453,UKF16,6 years,2018,green urban area,7970694.493536305,square meters
454,UKF21,6 years,2018,green urban area,7099738.488002311,square meters
455,UKK41,6 years,2018,green urban area,2651065.243808707,square meters
456,UKL14,6 years,2018,green urban area,27844.84302601919,square meters
457,UKL18,6 years,2018,green urban area,8966723.49048471,square meters
458,UKL21,6 years,2018,green urban area,1714765.558657319,square meters
459,UKN07,6 years,2018,green urban area,0.0,square meters
460,UKK42,6 years,2018,green urban area,0.0,square meters
461,UKD34,6 years,2018,green urban area,13601070.29228737,square meters
462,UKD35,6 years,2018,green urban area,15298805.6041077,square meters
463,UKE45,6 years,2018,green urban area,6306429.385981476,square meters
464,UKF11,6 years,2018,green urban area,3183145.212797303,square meters
465,UKF12,6 years,2018,green urban area,2218864.91132242,square meters
466,UKF13,6 years,2018,green urban area,8100729.961995578,square meters
467,UKL24,6 years,2018,green urban area,8797.760558097827,square meters
468,UKD11,6 years,2018,green urban area,0.0,square meters
469,UKD33,6 years,2018,green urban area,15165057.97149193,square meters
470,UKH25,6 years,2018,green urban area,0.0,square meters
