id,geo,obsvalue,indicator,freq,obstime,unit,geo_source
215,EE00,44387.6,non-built-up,,2018,km2,NUTS2016
216,DE94,13365.0,non-built-up,,2018,km2,NUTS2016
217,DEB2,4616.8,non-built-up,,2018,km2,NUTS2016
218,DE80,22023.8,non-built-up,,2018,km2,NUTS2016
219,DEA3,5865.0,non-built-up,,2018,km2,NUTS2016
220,DK03,11242.28,non-built-up,,2018,km2,NUTS2016
221,DE24,6621.4400000000005,non-built-up,,2018,km2,NUTS2016
222,DE27,9120.0,non-built-up,,2018,km2,NUTS2016
223,DE71,6374.68,non-built-up,,2018,km2,NUTS2016
224,EL61,13594.720000000001,non-built-up,,2018,km2,NUTS2016
225,DE91,7415.72,non-built-up,,2018,km2,NUTS2016
226,ITG1,23546.84,non-built-up,,2018,km2,NUTS2016
227,EL64,15145.76,non-built-up,,2018,km2,NUTS2016
228,DEA4,5541.4400000000005,non-built-up,,2018,km2,NUTS2016
229,EL30,3046.8,non-built-up,,2018,km2,NUTS2016
230,EL43,7969.08,non-built-up,,2018,km2,NUTS2016
231,DE25,6505.56,non-built-up,,2018,km2,NUTS2016
232,ITG2,23020.56,non-built-up,,2018,km2,NUTS2016
233,ITH1,7188.08,non-built-up,,2018,km2,NUTS2016
234,DE72,4923.8,non-built-up,,2018,km2,NUTS2016
235,ITH2,5959.96,non-built-up,,2018,km2,NUTS2016
236,EL62,2139.04,non-built-up,,2018,km2,NUTS2016
237,EL63,10894.72,non-built-up,,2018,km2,NUTS2016
238,DK05,7468.88,non-built-up,,2018,km2,NUTS2016
239,DE92,8116.08,non-built-up,,2018,km2,NUTS2016
240,EL51,13747.32,non-built-up,,2018,km2,NUTS2016
241,DEA5,6817.08,non-built-up,,2018,km2,NUTS2016
242,EL52,17844.52,non-built-up,,2018,km2,NUTS2016
243,DE23,8976.92,non-built-up,,2018,km2,NUTS2016
244,DE26,7876.64,non-built-up,,2018,km2,NUTS2016
245,EL53,9251.4,non-built-up,,2018,km2,NUTS2016
246,EL54,8922.24,non-built-up,,2018,km2,NUTS2016
247,FI20,1336.04,non-built-up,,2018,km2,NUTS2016
248,ES42,78129.0,non-built-up,,2018,km2,NUTS2016
249,DEA1,3862.64,non-built-up,,2018,km2,NUTS2016
250,ES11,28092.48,non-built-up,,2018,km2,NUTS2016
251,FRB0,37348.64,non-built-up,,2018,km2,NUTS2016
252,DEB3,6068.56,non-built-up,,2018,km2,NUTS2016
253,ES70,0.0,non-built-up,,2018,km2,NUTS2016
254,FI19,63747.16,non-built-up,,2018,km2,NUTS2016
255,DED2,7149.92,non-built-up,,2018,km2,NUTS2016
256,FR10,9874.92,non-built-up,,2018,km2,NUTS2016
257,DE30,393.24,non-built-up,,2018,km2,NUTS2016
258,DE50,242.92000000000002,non-built-up,,2018,km2,NUTS2016
259,DE60,401.48,non-built-up,,2018,km2,NUTS2016
260,ES43,40951.8,non-built-up,,2018,km2,NUTS2016
261,DED4,5778.36,non-built-up,,2018,km2,NUTS2016
262,ES13,5113.36,non-built-up,,2018,km2,NUTS2016
263,DEA2,6044.2,non-built-up,,2018,km2,NUTS2016
264,DEC0,2155.64,non-built-up,,2018,km2,NUTS2016
265,DEE0,19111.16,non-built-up,,2018,km2,NUTS2016
266,DK02,6733.56,non-built-up,,2018,km2,NUTS2016
267,ES21,6817.96,non-built-up,,2018,km2,NUTS2016
268,ES22,10099.12,non-built-up,,2018,km2,NUTS2016
269,DEG0,15058.16,non-built-up,,2018,km2,NUTS2016
270,DK01,2056.64,non-built-up,,2018,km2,NUTS2016
271,ES41,92466.28,non-built-up,,2018,km2,NUTS2016
272,DED5,3531.2000000000003,non-built-up,,2018,km2,NUTS2016
273,DEF0,14281.68,non-built-up,,2018,km2,NUTS2016
274,FI1B,8920.24,non-built-up,,2018,km2,NUTS2016
275,FI1C,34258.56,non-built-up,,2018,km2,NUTS2016
276,FI1D,226328.48,non-built-up,,2018,km2,NUTS2016
277,ES51,30129.36,non-built-up,,2018,km2,NUTS2016
278,ES23,4904.92,non-built-up,,2018,km2,NUTS2016
279,ES52,21332.84,non-built-up,,2018,km2,NUTS2016
280,ES61,84074.76,non-built-up,,2018,km2,NUTS2016
281,ES62,10505.04,non-built-up,,2018,km2,NUTS2016
282,ES63,13.200000000000001,non-built-up,,2018,km2,NUTS2016
283,ES64,5.5600000000000005,non-built-up,,2018,km2,NUTS2016
284,FRJ1,26017.24,non-built-up,,2018,km2,NUTS2016
285,HR03,23755.16,non-built-up,,2018,km2,NUTS2016
286,HR04,30446.52,non-built-up,,2018,km2,NUTS2016
287,HU11,217.16,non-built-up,,2018,km2,NUTS2016
288,FRI2,16266.960000000001,non-built-up,,2018,km2,NUTS2016
289,FRD2,11193.4,non-built-up,,2018,km2,NUTS2016
290,FRI3,24156.760000000002,non-built-up,,2018,km2,NUTS2016
291,ME00,13706.44,non-built-up,,2018,km2,NUTS2016
292,FRY4,,non-built-up,,2018,km2,NUTS2016
293,FRY5,,non-built-up,,2018,km2,NUTS2016
294,MK00,24729.12,non-built-up,,2018,km2,NUTS2016
